date;kurs_close;value_import;value_export;volume_import;volume_export
2016-10-20;13008;136;145;152025;511728
2016-10-21;13045;136;145;152025;511728
2016-10-24;13013;136;145;152025;511728
2016-10-25;13006;136;145;152025;511728
2016-10-26;13008;136;145;152025;511728
2016-10-27;13033;136;145;152025;511728
2016-10-28;13051;136;145;152025;511728
2016-10-31;13048;136;145;152025;511728
2016-11-01;13042;136;145;152025;511728
2016-11-02;13056;136;145;152025;511728
2016-11-03;13075;136;145;152025;511728
2016-11-04;13070;136;145;152025;511728
2016-11-07;13088;136;145;152025;511728
2016-11-08;13084;136;145;152025;511728
2016-11-09;13099;136;145;152025;511728
2016-11-10;13138;136;145;152025;511728
2016-11-11;13288;136;145;152025;511728
2016-11-14;13358;136;145;152025;511728
2016-11-15;13363;136;145;152025;511728
2016-11-16;13378;136;145;152025;511728
2016-11-17;13373;136;145;152025;511728
2016-11-18;13428;136;145;152025;511728
2016-11-21;13425;136;145;152025;511728
2016-11-22;13443;136;145;152025;511728
2016-11-23;13483;136;145;152025;511728
2016-11-24;13558;136;145;152025;511728
2016-11-25;13518;136;145;152025;511728
2016-11-28;13530;136;145;152025;511728
2016-11-29;13573;136;145;152025;511728
2016-11-30;13553;136;145;152025;511728
2016-12-01;13545;136;145;152025;511728
2016-12-02;13525;136;145;152025;511728
2016-12-05;13433;136;145;152025;511728
2016-12-06;13383;136;145;152025;511728
2016-12-07;13325;136;145;152025;511728
2016-12-08;13287;136;145;152025;511728
2016-12-09;13328;136;145;152025;511728
2016-12-12;13328;136;145;152025;511728
2016-12-13;13308;136;145;152025;511728
2016-12-14;13296;136;145;152025;511728
2016-12-15;13398;136;145;152025;511728
2016-12-16;13390;136;145;152025;511728
2016-12-19;13384;136;145;152025;511728
2016-12-20;13428;136;145;152025;511728
2016-12-21;13469;136;145;152025;511728
2016-12-22;13453;136;145;152025;511728
2016-12-23;13450;136;145;152025;511728
2016-12-26;13450;136;145;152025;511728
2016-12-27;13448;136;145;152025;511728
2016-12-28;13443;136;145;152025;511728
2016-12-29;13463;136;145;152025;511728
2016-12-30;13473;136;145;152025;511728
2017-01-02;13473;157;169;160749;545847
2017-01-03;13480;157;169;160749;545847
2017-01-04;13440;157;169;160749;545847
2017-01-05;13375;157;169;160749;545847
2017-01-06;13365;157;169;160749;545847
2017-01-09;13365;157;169;160749;545847
2017-01-10;13315;157;169;160749;545847
2017-01-11;13329;157;169;160749;545847
2017-01-12;13290;157;169;160749;545847
2017-01-13;13332;157;169;160749;545847
2017-01-16;13367;157;169;160749;545847
2017-01-17;13352;157;169;160749;545847
2017-01-18;13343;157;169;160749;545847
2017-01-19;13373;157;169;160749;545847
2017-01-20;13410;157;169;160749;545847
2017-01-23;13360;157;169;160749;545847
2017-01-24;13331;157;169;160749;545847
2017-01-25;13361;157;169;160749;545847
2017-01-26;13336;157;169;160749;545847
2017-01-27;13359;157;169;160749;545847
2017-01-30;13345;157;169;160749;545847
2017-01-31;13352;157;169;160749;545847
2017-02-01;13373;157;169;160749;545847
2017-02-02;13353;157;169;160749;545847
2017-02-03;13345;157;169;160749;545847
2017-02-06;13323;157;169;160749;545847
2017-02-07;13329;157;169;160749;545847
2017-02-08;13325;157;169;160749;545847
2017-02-09;13303;157;169;160749;545847
2017-02-10;13316;157;169;160749;545847
2017-02-13;13327;157;169;160749;545847
2017-02-14;13331;157;169;160749;545847
2017-02-15;13331;157;169;160749;545847
