no,nilai,jual,beli,tanggal
540,1,14226,14084,10/15/2021 
541,1,14292,14150,10/14/2021 
542,1,14288,14146,10/13/2021 
543,1,14281,14139,10/12/2021 
544,1,14296,14154,10/11/2021 
545,1,14309,14167,10/8/2021 
546,1,14316,14174,10/7/2021 
547,1,14331,14189,10/6/2021 
548,1,14347,14205,10/5/2021 
549,1,14387,14243,10/4/2021 
550,1,14393,14249,10/1/2021 
551,1,14379,14235,9/30/2021 
552,1,14340,14198,9/29/2021 
553,1,14329,14187,9/28/2021 
554,1,14321,14179,9/27/2021 
555,1,14327,14185,9/24/2021 
556,1,14320,14178,9/23/2021 
557,1,14315,14173,9/22/2021 
558,1,14322,14180,9/21/2021 
559,1,14304,14162,9/20/2021 
560,1,14309,14167,9/17/2021 
561,1,14323,14181,9/16/2021 
562,1,14328,14186,9/15/2021 
563,1,14331,14189,9/14/2021 
564,1,14296,14154,9/13/2021 
565,1,14343,14201,9/10/2021 
566,1,14337,14195,9/9/2021 
567,1,14266,14124,9/8/2021 
568,1,14310,14168,9/7/2021 
569,1,14332,14190,9/6/2021 
570,1,14352,14210,9/3/2021 
571,1,14355,14213,9/2/2021 
572,1,14378,14234,9/1/2021 
573,1,14446,14302,8/31/2021 
574,1,14503,14359,8/30/2021 
575,1,14495,14351,8/27/2021 
576,1,14480,14336,8/26/2021 
577,1,14463,14319,8/25/2021 
578,1,14487,14343,8/24/2021 
579,1,14536,14392,8/23/2021 
580,1,14486,14342,8/20/2021 
581,1,14456,14312,8/19/2021 
582,1,14455,14311,8/18/2021 
583,1,14460,14316,8/16/2021 
584,1,14461,14317,8/13/2021 
585,1,14469,14325,8/12/2021 
586,1,14450,14306,8/10/2021 
587,1,14441,14297,8/9/2021 
588,1,14414,14270,8/6/2021 
589,1,14396,14252,8/5/2021 
590,1,14434,14290,8/4/2021 
591,1,14528,14384,8/3/2021 
592,1,14534,14390,8/2/2021 
593,1,14563,14419,7/30/2021 
594,1,14570,14426,7/29/2021 
595,1,14561,14417,7/28/2021 
596,1,14566,14422,7/27/2021 
597,1,14574,14429,7/26/2021 
598,1,14581,14435,7/23/2021 
599,1,14627,14481,7/22/2021 
600,1,14597,14451,7/21/2021 
601,1,14590,14444,7/19/2021 
602,1,14576,14430,7/16/2021 
603,1,14565,14421,7/15/2021 
604,1,14558,14414,7/14/2021 
605,1,14558,14414,7/13/2021 
606,1,14621,14475,7/12/2021 
607,1,14621,14475,7/9/2021 
608,1,14573,14428,7/8/2021 
609,1,14540,14396,7/7/2021 
610,1,14554,14410,7/6/2021 
611,1,14637,14491,7/5/2021 
612,1,14612,14466,7/2/2021 
613,1,14615,14469,7/1/2021 
614,1,14568,14424,6/30/2021 
615,1,14544,14400,6/29/2021 
616,1,14519,14375,6/28/2021 
617,1,14534,14390,6/25/2021 
618,1,14526,14382,6/24/2021 
619,1,14493,14349,6/23/2021 
620,1,14525,14381,6/22/2021 
621,1,14475,14331,6/21/2021 
622,1,14450,14306,6/18/2021 
623,1,14328,14186,6/17/2021 
624,1,14315,14173,6/16/2021 
625,1,14293,14151,6/15/2021 
626,1,14277,14135,6/14/2021 
627,1,14311,14169,6/11/2021 
628,1,14333,14191,6/10/2021 
629,1,14333,14191,6/9/2021 
630,1,14342,14200,6/8/2021 
631,1,14388,14244,6/7/2021 
632,1,14368,14226,6/4/2021 
633,1,14347,14205,6/3/2021 
634,1,14363,14221,6/2/2021 
635,1,14382,14238,6/1/2021 
636,1,14382,14238,5/31/2021 
637,1,14384,14240,5/28/2021 
638,1,14407,14263,5/27/2021 
639,1,14434,14290,5/26/2021 
640,1,14434,14290,5/25/2021 
641,1,14447,14303,5/24/2021 
642,1,14468,14324,5/21/2021 
643,1,14385,14241,5/20/2021 
644,1,14372,14229,5/19/2021 
645,1,14355,14213,5/18/2021 
646,1,14274,14132,5/17/2021 
647,1,14269,14127,5/14/2021 
648,1,14269,14127,5/13/2021 
649,1,14269,14127,5/12/2021 
650,1,14269,14127,5/11/2021 
651,1,14360,14218,5/10/2021 
652,1,14436,14292,5/7/2021 
653,1,14511,14367,5/6/2021 
654,1,14503,14359,5/5/2021 
655,1,14539,14395,5/4/2021 
656,1,14525,14381,5/3/2021 
657,1,14540,14396,4/30/2021 
658,1,14583,14437,4/29/2021 
659,1,14569,14425,4/28/2021 
660,1,14561,14417,4/27/2021 
661,1,14621,14475,4/26/2021 
662,1,14603,14457,4/23/2021 
663,1,14622,14476,4/22/2021 
664,1,14581,14435,4/21/2021 
665,1,14641,14495,4/20/2021 
666,1,14665,14519,4/19/2021 
667,1,14719,14573,4/16/2021 
668,1,14706,14560,4/15/2021 
669,1,14721,14575,4/14/2021 
670,1,14704,14558,4/13/2021 
671,1,14653,14507,4/12/2021 
672,1,14653,14507,4/9/2021 
673,1,14586,14440,4/8/2021 
674,1,14592,14446,4/7/2021 
675,1,14606,14460,4/6/2021 
676,1,14657,14511,4/5/2021 
677,1,14650,14504,4/2/2021 
678,1,14650,14504,4/1/2021 
679,1,14645,14499,3/31/2021 
680,1,14553,14409,3/30/2021 
681,1,14506,14362,3/29/2021 
682,1,14518,14374,3/26/2021 
683,1,14536,14392,3/25/2021 
684,1,14527,14383,3/24/2021 
685,1,14493,14349,3/23/2021 
686,1,14528,14384,3/22/2021 
687,1,14548,14404,3/19/2021 
688,1,14484,14340,3/18/2021 
689,1,14531,14387,3/17/2021 
690,1,14496,14352,3/16/2021 
691,1,14490,14346,3/15/2021 
692,1,14443,14299,3/12/2021 
693,1,14493,14349,3/11/2021 
694,1,14493,14349,3/10/2021 
695,1,14540,14396,3/9/2021 
696,1,14462,14318,3/8/2021 
697,1,14443,14299,3/5/2021 
698,1,14371,14228,3/4/2021 
699,1,14406,14262,3/3/2021 
700,1,14379,14235,3/2/2021 
701,1,14372,14229,3/1/2021 
702,1,14300,14158,2/26/2021 
703,1,14175,14033,2/25/2021 
704,1,14159,14019,2/24/2021 
705,1,14197,14055,2/23/2021 
706,1,14168,14028,2/22/2021 
707,1,14155,14015,2/19/2021 
708,1,14129,13989,2/18/2021 
709,1,14089,13949,2/17/2021 
710,1,13944,13806,2/16/2021 
711,1,14016,13876,2/15/2021 
712,1,14081,13941,2/12/2021 
713,1,14081,13941,2/11/2021 
714,1,14059,13919,2/10/2021 
715,1,14070,13930,2/9/2021 
716,1,14070,13930,2/8/2021 
717,1,14132,13992,2/5/2021 
718,1,14106,13966,2/4/2021 
719,1,14087,13947,2/3/2021 
720,1,14114,13974,2/2/2021 
721,1,14112,13972,2/1/2021 
722,1,14154,14014,1/29/2021 
723,1,14190,14048,1/28/2021 
724,1,14161,14021,1/27/2021 
725,1,14156,14016,1/26/2021 
726,1,14152,14012,1/25/2021 
727,1,14124,13984,1/22/2021 
728,1,14109,13969,1/21/2021 
729,1,14135,13995,1/20/2021 
730,1,14156,14016,1/19/2021 
731,1,14150,14010,1/18/2021 
732,1,14138,13998,1/15/2021 
733,1,14190,14048,1/14/2021 
734,1,14180,14038,1/13/2021 
735,1,14302,14160,1/12/2021 
736,1,14226,14084,1/11/2021 
737,1,14128,13988,1/8/2021 
738,1,14008,13868,1/7/2021 
739,1,13996,13856,1/6/2021 
740,1,14015,13875,1/5/2021 
741,1,13973,13833,1/4/2021 
742,1,14176,14034,12/31/2020 
743,1,14176,14034,12/30/2020 
744,1,14240,14098,12/29/2020 
745,1,14255,14113,12/28/2020 
746,1,14353,14211,12/25/2020 
747,1,14353,14211,12/24/2020 
748,1,14353,14211,12/23/2020 
749,1,14289,14147,12/22/2020 
750,1,14251,14109,12/21/2020 
751,1,14217,14075,12/18/2020 
752,1,14223,14081,12/17/2020 
753,1,14222,14080,12/16/2020 
754,1,14242,14100,12/15/2020 
755,1,14229,14087,12/14/2020 
756,1,14173,14031,12/11/2020 
757,1,14201,14059,12/10/2020 
758,1,14235,14093,12/9/2020 
759,1,14235,14093,12/8/2020 
760,1,14206,14064,12/7/2020 
761,1,14253,14111,12/4/2020 
762,1,14248,14106,12/3/2020 
763,1,14235,14093,12/2/2020 
764,1,14249,14107,12/1/2020 
765,1,14199,14057,11/30/2020 
766,1,14216,14074,11/27/2020 
767,1,14201,14059,11/26/2020 
768,1,14240,14098,11/25/2020 
769,1,14267,14125,11/24/2020 
770,1,14235,14093,11/23/2020 
771,1,14299,14157,11/20/2020 
772,1,14238,14096,11/19/2020 
773,1,14189,14047,11/18/2020 
774,1,14143,14003,11/17/2020 
